tokenNumber,name,text,score,imagePath,imageUrl
6503,drifella 2 #6503,ROTHKO MAKER,0.9709856460491816,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLNRVpiLXAEpmakUDeEt7F2atK4dfcNGLLxcgCBarYFT/image.png,https://nftstorage.link/ipfs/bafybeict45mvtgo7f6x3dp2ubzjffacf7fy2y3k2ci4mqzty2ae2tp53pi/6503.png
6503,drifella 2 #6503,MAF& PTVI.,0.5830033779144287,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLNRVpiLXAEpmakUDeEt7F2atK4dfcNGLLxcgCBarYFT/image.png,https://nftstorage.link/ipfs/bafybeict45mvtgo7f6x3dp2ubzjffacf7fy2y3k2ci4mqzty2ae2tp53pi/6503.png
6503,drifella 2 #6503,ONHLCL PD bne,0.5322200357913971,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLNRVpiLXAEpmakUDeEt7F2atK4dfcNGLLxcgCBarYFT/image.png,https://nftstorage.link/ipfs/bafybeict45mvtgo7f6x3dp2ubzjffacf7fy2y3k2ci4mqzty2ae2tp53pi/6503.png
6503,drifella 2 #6503,LST ARL TL 0PURN,0.5268802968785167,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLNRVpiLXAEpmakUDeEt7F2atK4dfcNGLLxcgCBarYFT/image.png,https://nftstorage.link/ipfs/bafybeict45mvtgo7f6x3dp2ubzjffacf7fy2y3k2ci4mqzty2ae2tp53pi/6503.png
9111,drifella 2 #9111,Dorrt,0.7797378301620483,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLQLb1Xdm7NHqdKWT8P5zzsvwLeGEhFKpwLFtTcogWy8/image.png,https://nftstorage.link/ipfs/bafybeidnsdyes4vi2bgfslhntr5syy3orbog3ksuadqrky4rri6kro2qoq/9111.png
5097,drifella 2 #5097,my demons dont know i,0.9796427542513068,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLSKvrkRybKrCmbU6FvJhtD75tbYBbvnKGDcp4Eyy3qx/image.png,https://nftstorage.link/ipfs/bafybeigdswqham7747cl5g3c2537nzhnozmvzzm2ozmbqloue7amxhdrcy/5097.png
5097,drifella 2 #5097,got da opium dog in me,0.9632045491175218,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLSKvrkRybKrCmbU6FvJhtD75tbYBbvnKGDcp4Eyy3qx/image.png,https://nftstorage.link/ipfs/bafybeigdswqham7747cl5g3c2537nzhnozmvzzm2ozmbqloue7amxhdrcy/5097.png
5097,drifella 2 #5097,Go Forward.,0.9509959329258312,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLSKvrkRybKrCmbU6FvJhtD75tbYBbvnKGDcp4Eyy3qx/image.png,https://nftstorage.link/ipfs/bafybeigdswqham7747cl5g3c2537nzhnozmvzzm2ozmbqloue7amxhdrcy/5097.png
2708,drifella 2 #2708,You cant,0.8615513369441032,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
2708,drifella 2 #2708,"beat a man,",0.9343863183801825,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
