phrase,field,count
matrix coded,background,60
deaths sword,left_hand,60
fucking spiky headphones,head,60
skull cat,body,60
mifella aura,body,60
purple worm sketch,body,60
kidnapped,left_hand,60
wizard m hat,head,60
eyes wide shut,overlay,60
barbed wire bat,left_hand,60
black dead hands,left_hand,60
gengar,background,60
you cant beat a man that battles with himself every day,overlay,60
sketch bastard,body,59
drifella kill scene,background,59
ceramic chambered mifella heart,left_hand,59
benny boys place,background,59
rip avant nft wave,left_hand,59
this doesnt bode well,overlay,59
fang reaper meme,background,59
cassidy,body,59
samurai sword nose,head,59
vingette shadow,overlay,59
moth,overlay,59
shot,left_hand,59
pink cream,body,59
sword item,left_hand,59
im in love with my gf dont talk to me she has a nuclear bomb,overlay,59
sketch4,body,59
anime eye rock,left_hand,59
chain,background_plus,59
superman tags,left_hand,59
touching grass isnt enough,overlay,59
plush pink,body,59
mimikyu sketch,body,59
bisexual sketch,body,59
dirt,body,59
wrapped dratini sketch,body,59
cyber cygil overlay,overlay,59
mewtwo in red circle,overlay,59
yugioh match,background,59
2,overlay,59
ghost and anime girl,background,59
giratina at mcdonalds,background,59
richard notkin teapot,left_hand,59
drifella chart painting,background,58
born to drain mud is a fuck,overlay,58
dratini,left_hand,58
psp,left_hand,58
s drip,overlay,58
aura ear muffs,head,58
chair,left_hand,58
final fantasy iv,overlay,58
red gradient sketch,body,58
got a light,left_hand,58
fire,overlay,58
grenade,left_hand,58
dark magician spiky headphones,head,58
dratini,background,58
faygo elfbar,left_hand,58
bullet holes,overlay,58
its over were back,overlay,58
yoohoo,left_hand,58
roster sprites,overlay,58
cannot use this item offline,overlay,58
homelander,body,58
swag coin fistbump,left_hand,58
injection fairy lily,background,58
dragon pet,left_hand,57
snowman pikachu line,left_hand,57
drifella angel hat,head,57
shino skeleton,body,57
sony hat princess diana,head,57
void,background,57
cyan,body,57
left anime gun,left_hand,57
wow it is literally me meme,background,57
worm,left_hand,57
contraption,overlay,57
blood drip,overlay,57
hieronymus,background,57
in case of fire,right_hand,57
molotov,left_hand,57
scout power reader,head,57
red painting,left_hand,56
his ass is not a software engineer,overlay,56
be ready to fight the horde,overlay,56
meshed cloth,body,56
head,left_hand,56
world war 2,background,56
smudge pencil sketch,body,56
i wake up i engage in tomfoolery,overlay,56
catacombs,background,56
condo abstract,background,56
muzzle,head,56
tech gas mask,head,56
batman cowl,head,56
joker face,head,56
obsidian blade,left_hand,56
cloth carnage,body,56
ethan backwards cap,head,56
chess,background_plus,56
burglar,head,56
blue skull,background,56
i can sleep anywhere,overlay,56
garbagemon,right_hand,56
orko hat,head,56
twilight manga,background,56
