assetId,tokenNumber,name,text,score,imagePath
H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6,883,drifella 2 #883,am arsonist,0.9905458201061595,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6,883,drifella 2 #883,"410.757,864.530 SLUDGE BURNED",0.958209202207368,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
H2mbvLRpHeFxnBqFLrGgccBPSNWrpzMwMU14Xr2mEZQS,4748,drifella 2 #4748,ss drip,0.822737991809845,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2mbvLRpHeFxnBqFLrGgccBPSNWrpzMwMU14Xr2mEZQS/image.png
H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6,3781,drifella 2 #3781,im in love with my gf,0.9673272533850237,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6/image.png
H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6,3781,drifella 2 #3781,dont talk to me she has,0.9890350569849429,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6/image.png
H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6,3781,drifella 2 #3781,a nuclear bomb,0.9883601537772587,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6/image.png
H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6,3781,drifella 2 #3781,CHOOSE,0.870631938179334,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,touches,0.9859522921698434,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,his,0.88246222337087,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,circumcision scar,0.9983871754478005,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
